260717 15:48:59.983| dbg| StarterConn|            | Connection failed. Try to reconnect in 1 seconds 
260717 15:49:00.970| dbg| AlarmClrCon|            | Start connect to: 127.0.0.1:11536
260717 15:49:00.971| ERR| AlarmClrCon|            | Connect failed: Connection refused
260717 15:49:00.972| dbg| AlarmClrCon|            | Will try to connect in 5 sec
260717 15:49:00.983| dbg| StarterConn|            | Start connect to: 127.0.0.1:11533
260717 15:49:00.984| ERR| StarterConn|            | Connect failed: Connection refused
260717 15:49:00.984| dbg| StarterConn|            | Connection failed. Try to reconnect in 1 seconds 
260717 15:49:01.988| dbg| StarterConn|            | Start connect to: 127.0.0.1:11533
260717 15:49:01.989| ERR| StarterConn|            | Connect failed: Connection refused
260717 15:49:01.989| dbg| StarterConn|            | Connection failed. Try to reconnect in 1 seconds 
260717 15:49:02.990| dbg| StarterConn|            | Start connect to: 127.0.0.1:11533
260717 15:49:02.990| ERR| StarterConn|            | Connect failed: Connection refused
260717 15:49:02.990| dbg| StarterConn|            | Connection failed. Try to reconnect in 1 seconds 
260717 15:49:03.991| dbg| StarterConn|            | Start connect to: 127.0.0.1:11533
260717 15:49:03.991| ERR| StarterConn|            | Connect failed: Connection refused
260717 15:49:03.991| dbg| StarterConn|            | Connection failed. Try to reconnect in 1 seconds 
260717 15:49:04.992| dbg| StarterConn|            | Start connect to: 127.0.0.1:11533
260717 15:49:04.993| ERR| StarterConn|            | Connect failed: Connection refused
260717 15:49:04.993| dbg| StarterConn|            | Connection failed. Try to reconnect in 1 seconds 
260717 15:49:05.973| dbg| AlarmClrCon|            | Start connect to: 127.0.0.1:11536
260717 15:49:05.974| ERR| AlarmClrCon|            | Connect failed: Connection refused
260717 15:49:05.974| dbg| AlarmClrCon|            | Will try to connect in 5 sec
260717 15:49:05.993| dbg| StarterConn|            | Start connect to: 127.0.0.1:11533
260717 15:49:05.993| ERR| StarterConn|            | Connect failed: Connection refused
260717 15:49:05.993| dbg| StarterConn|            | Connection failed. Try to reconnect in 1 seconds 
260717 15:49:06.994| dbg| StarterConn|            | Start connect to: 127.0.0.1:11533
260717 15:49:06.995| ERR| StarterConn|            | Connect failed: Connection refused
260717 15:49:06.995| dbg| StarterConn|            | Connection failed. Try to reconnect in 1 seconds 
260717 15:49:08.001| dbg| StarterConn|            | Start connect to: 127.0.0.1:11533
260717 15:49:08.002| ERR| StarterConn|            | Connect failed: Connection refused
260717 15:49:08.002| dbg| StarterConn|            | Connection failed. Try to reconnect in 1 seconds 
260717 15:49:09.003| dbg| StarterConn|            | Start connect to: 127.0.0.1:11533
260717 15:49:09.004| ERR| StarterConn|            | Connect failed: Connection refused
260717 15:49:09.004| dbg| StarterConn|            | Connection failed. Try to reconnect in 1 seconds 
260717 15:49:10.005| dbg| StarterConn|            | Start connect to: 127.0.0.1:11533
260717 15:49:10.005| ERR| StarterConn|            | Connect failed: Connection refused
260717 15:49:10.005| dbg| StarterConn|            | Connection failed. Try to reconnect in 1 seconds 
260717 15:49:10.978| dbg| AlarmClrCon|            | Start connect to: 127.0.0.1:11536
260717 15:49:10.979| ERR| AlarmClrCon|            | Connect failed: Connection refused
260717 15:49:10.979| dbg| AlarmClrCon|            | Will try to connect in 5 sec
260717 15:49:11.007| dbg| StarterConn|            | Start connect to: 127.0.0.1:11533
260717 15:49:11.007| ERR| StarterConn|            | Connect failed: Connection refused
260717 15:49:11.007| dbg| StarterConn|            | Connection failed. Try to reconnect in 1 seconds 
260717 15:49:12.010| dbg| StarterConn|            | Start connect to: 127.0.0.1:11533
260717 15:49:12.011| ERR| StarterConn|            | Connect failed: Connection refused
260717 15:49:12.011| dbg| StarterConn|            | Connection failed. Try to reconnect in 1 seconds 
260717 15:49:13.013| dbg| StarterConn|            | Start connect to: 127.0.0.1:11533
260717 15:49:13.013| ERR| StarterConn|            | Connect failed: Connection refused
260717 15:49:13.014| dbg| StarterConn|            | Connection failed. Try to reconnect in 1 seconds 
260717 15:49:14.015| dbg| StarterConn|            | Start connect to: 127.0.0.1:11533
260717 15:49:14.017| ERR| StarterConn|            | Connect failed: Connection refused
260717 15:49:14.017| dbg| StarterConn|            | Connection failed. Try to reconnect in 1 seconds 
260717 15:49:15.020| dbg| StarterConn|            | Start connect to: 127.0.0.1:11533
260717 15:49:15.021| ERR| StarterConn|            | Connect failed: Connection refused
260717 15:49:15.021| dbg| StarterConn|            | Connection failed. Try to reconnect in 1 seconds 
260717 15:49:15.984| dbg| AlarmClrCon|            | Start connect to: 127.0.0.1:11536
260717 15:49:15.984| ERR| AlarmClrCon|            | Connect failed: Connection refused
260717 15:49:15.984| dbg| AlarmClrCon|            | Will try to connect in 5 sec
260717 15:49:16.021| dbg| StarterConn|            | Start connect to: 127.0.0.1:11533
260717 15:49:16.022| ERR| StarterConn|            | Connect failed: Connection refused
260717 15:49:16.022| dbg| StarterConn|            | Connection failed. Try to reconnect in 1 seconds 
260717 15:49:17.040| dbg| StarterConn|            | Start connect to: 127.0.0.1:11533
260717 15:49:17.041| ERR| StarterConn|            | Connect failed: Connection refused
260717 15:49:17.043| dbg| StarterConn|            | Connection failed. Try to reconnect in 1 seconds 
260717 15:49:18.048| dbg| StarterConn|            | Start connect to: 127.0.0.1:11533
260717 15:49:18.049| ERR| StarterConn|            | Connect failed: Connection refused
260717 15:49:18.049| dbg| StarterConn|            | Connection failed. Try to reconnect in 1 seconds 
260717 15:49:19.049| dbg| StarterConn|            | Start connect to: 127.0.0.1:11533
260717 15:49:19.050| ERR| StarterConn|            | Connect failed: Connection refused
260717 15:49:19.050| dbg| StarterConn|            | Connection failed. Try to reconnect in 1 seconds 
260717 15:49:20.058| dbg| StarterConn|            | Start connect to: 127.0.0.1:11533
260717 15:49:20.059| ERR| StarterConn|            | Connect failed: Connection refused
260717 15:49:20.059| dbg| StarterConn|            | Connection failed. Try to reconnect in 1 seconds 
260717 15:49:20.986| dbg| AlarmClrCon|            | Start connect to: 127.0.0.1:11536
260717 15:49:20.986| ERR| AlarmClrCon|            | Connect failed: Connection refused
260717 15:49:20.986| dbg| AlarmClrCon|            | Will try to connect in 5 sec
260717 15:49:21.061| dbg| StarterConn|            | Start connect to: 127.0.0.1:11533
260717 15:49:21.062| ERR| StarterConn|            | Connect failed: Connection refused
260717 15:49:21.062| dbg| StarterConn|            | Connection failed. Try to reconnect in 1 seconds 
260717 15:49:22.068| dbg| StarterConn|            | Start connect to: 127.0.0.1:11533
260717 15:49:22.069| ERR| StarterConn|            | Connect failed: Connection refused
260717 15:49:22.070| dbg| StarterConn|            | Connection failed. Try to reconnect in 1 seconds 
260717 15:49:23.072| dbg| StarterConn|            | Start connect to: 127.0.0.1:11533
260717 15:49:23.072| ERR| StarterConn|            | Connect failed: Connection refused
260717 15:49:23.072| dbg| StarterConn|            | Connection failed. Try to reconnect in 1 seconds 
260717 15:49:24.076| dbg| StarterConn|            | Start connect to: 127.0.0.1:11533
260717 15:49:24.077| ERR| StarterConn|            | Connect failed: Connection refused
260717 15:49:24.077| dbg| StarterConn|            | Connection failed. Try to reconnect in 1 seconds 
260717 15:49:24.193| dbg| SipTransUdp| 0          | Decoded SIP message from: 192.168.11.134:5061:
In.SipRequest._flags = UserId: 0, TransactionTimeoutSec: <Unknown>, IsTraced: 0
In.SipRequest._head._requestLine = Method: REGISTER, RequestUri: Uri: sip:ims.it.ru, Parameters: , Headers: , SipVersion: 2.0
In.SipRequest._head._via.0 = SentProtocol: Name: SIP, Version: 2.0, Transport: Udp, SentBy: icscf.ims.it.ru:5065, Branch: z9hG4bK-1646694-1-0, Received: <Unknown>, Rport: <Unknown>, GenericParams: sz: 0 :
In.SipRequest._head._via.1 = SentProtocol: Name: SIP, Version: 2.0, Transport: Udp, SentBy: 192.168.35.187:5060, Branch: z9hG4bKfpdurv10dgfr1iu8cb00.1, Received: <Unknown>, Rport: <Unknown>, GenericParams: sz: 0 :
In.SipRequest._head._via.2 = SentProtocol: Name: SIP, Version: 2.0, Transport: Udp, SentBy: 192.168.10.25:5060, Branch: z9hG4bK4132783461, Received: <Unknown>, Rport: <Unknown>, GenericParams: sz: 0 :
In.SipRequest._head._callId = 1///1-1646694@192.168.11.134
In.SipRequest._head._cSeq = Number: 1, Method: REGISTER
In.SipRequest._head._from = DisplayName: <Unknown>, Uri: Uri: sip:001011001002056@ims.it.ru, Parameters: , Headers: , Tag: 16466940, GenericParams: sz: 0 :
In.SipRequest._head._to = DisplayName: <Unknown>, Uri: Uri: sip:001011001002056@ims.it.ru, Parameters: , Headers: , Tag: <Unknown>, GenericParams: sz: 0 :
In.SipRequest._head._contact = Type: ContactParamList, Value: sz: 1 : DisplayName: <Unknown>, SipUri: Uri: sip:192.168.35.187:5060, Parameters: , Headers: , Params: Expires: <Unknown>
In.SipRequest._head._expires = 15
In.SipRequest._head._maxForwards = 70
In.SipRequest._head._contentLength = 0
In.SipRequest._head._x.P-Access-Network-Info = 3GPP-E-UTRAN-FDD;utran-cell-id-3gpp=0010100C90000101
In.SipRequest._body._data = 

260717 15:49:24.194| dbg| UasTransMng|            | New transaction created, id: Branch: z9hG4bK-1646694-1-0, Method: REGISTER, sent by: 192.168.11.134:5061
260717 15:49:24.194| dbg| RegistrMng |            | Request authorization vectors with scheme: Unknown(4) for IMPI: 001011001002056@ims.it.ru
260717 15:49:24.196| dbg| DiamAgent  | _3GppCx(16777216)| Create a new outgoing connection to the host: hss.iskratechno, addr: 192.168.11.135:3868), connection state: Idle -> wait CEA
260717 15:49:24.196| dbg| SctpTrans  | Diameter 1 | Creating client connection with: 192.168.11.135:3868
260717 15:49:24.196| dbg| SctpConn   | 192.168.11.135:3868| Connection created
260717 15:49:24.196| dbg| SctpConn   | 192.168.11.135:3868| Start connecting
260717 15:49:24.199| dbg| SctpTrans  | Diameter 1 | Sending message (DiameterMessageType::CapabilitiesExchangeReq) to: 192.168.11.135:3868:
Out.DiameterMsg._msgId._hopByHopId = 1784285336
Out.DiameterMsg._msgId._endToEndId = 1784285336
Out.DiameterMsg._value._originHostAndRealm = Host: scscf.iskratechno, Realm: iskratechno
Out.DiameterMsg._value._ipAddrs.0 = Ip: 192.168.11.134
Out.DiameterMsg._value._vendorId = 0
Out.DiameterMsg._value._productName = ump_scscf
Out.DiameterMsg._value._supportedVendorIds.0 = 10415
Out.DiameterMsg._value._supportedVendorIds.1 = 13019
Out.DiameterMsg._value._vendorSpecificAppIds.0 = VendorId: 10415, AppId: 16777216
Out.DiameterMsg._value._originStateId = 1873908129
Out.DiameterMsg._appId = DiameterCommon(0)
Out.DiameterMsg._isRetransmitted = FALSE
Out.DiameterMsg._isTraced = <hidden>

260717 15:49:24.199| dbg| SctpConn   | 192.168.11.135:3868| Connection established
260717 15:49:24.200| dbg| SctpTrans  | Diameter 1 | Received message (DiameterMessageType::CapabilitiesExchangeResp) from: 192.168.11.135:3868:
In.DiameterMsg._msgId._hopByHopId = 1784285336
In.DiameterMsg._msgId._endToEndId = 1784285336
In.DiameterMsg._value._result = DiameterBaseResultCode::Success
In.DiameterMsg._value._originHostAndRealm = Host: hss.iskratechno, Realm: iskratechno
In.DiameterMsg._value._ipAddrs.0 = Ip: 192.168.11.134
In.DiameterMsg._value._vendorId = 0
In.DiameterMsg._value._productName = HSS
In.DiameterMsg._value._supportedVendorIds.0 = 10415
In.DiameterMsg._value._vendorSpecificAppIds.0 = VendorId: 10415, AppId: 16777216
In.DiameterMsg._appId = DiameterCommon(0)
In.DiameterMsg._isRetransmitted = FALSE
In.DiameterMsg._isTraced = <hidden>

260717 15:49:24.201| dbg| DiamAgent  | _3GppCx(16777216)| Capabilities-Exchange response processed successfully (from: hss.iskratechno, addr: 192.168.11.135:3868) connection state: wait CEA -> Done
260717 15:49:24.201| dbg| DiamAgent  | _3GppCx(16777216)| Add new peer: host: hss.iskratechno, IP and port: 192.168.11.135:3868
260717 15:49:24.201| dbg| SctpTrans  | Diameter 1 | Sending message (DiameterMessageType::MultimediaAuthReq) to: 192.168.11.135:3868:
Out.DiameterMsg._msgId._hopByHopId = 1784285336
Out.DiameterMsg._msgId._endToEndId = 1784285336
Out.DiameterMsg._value._sessionId = B48C32BD05FC4914BDE5BBE3FA4FDFAB
Out.DiameterMsg._value._vendorSpecificAppId = VendorId: 10415, AppId: 16777216
Out.DiameterMsg._value._authSessionState = NoStateMaintained
Out.DiameterMsg._value._originHostAndRealm = Host: scscf.iskratechno, Realm: iskratechno
Out.DiameterMsg._value._destinationHost = hss.iskratechno
Out.DiameterMsg._value._destinationRealm = iskratechno
Out.DiameterMsg._value._userName = 001011001002056@ims.it.ru
Out.DiameterMsg._value._publicIdentity = sip:001011001002056@ims.it.ru
Out.DiameterMsg._value._sipAuthDataItem._sipItemNumber = <Unknown>
Out.DiameterMsg._value._sipAuthDataItem._sipAuthScheme = Unknown
Out.DiameterMsg._value._sipAuthDataItem._sipDigestAuth = <Unknown>
Out.DiameterMsg._value._sipAuthDataItem._sipAuthenticate = <Unknown>
Out.DiameterMsg._value._sipAuthDataItem._sipAuthorization = <Unknown>
Out.DiameterMsg._value._sipAuthDataItem._ck = <Unknown>
Out.DiameterMsg._value._sipAuthDataItem._ik = <Unknown>
Out.DiameterMsg._value._sipNumberAuthItems = 1
Out.DiameterMsg._value._serverName = scscf.sip
Out.DiameterMsg._appId = _3GppCx(16777216)
Out.DiameterMsg._isRetransmitted = FALSE
Out.DiameterMsg._isTraced = <hidden>

260717 15:49:24.201| dbg| DiamAgent  | _3GppCx(16777216)| Connection request (host: hss.iskratechno, IP and port: 192.168.11.135:3868) removed
260717 15:49:24.202| dbg| SctpTrans  | Diameter 1 | Received message (DiameterMessageType::MultimediaAuthResp) from: 192.168.11.135:3868:
In.DiameterMsg._msgId._hopByHopId = 1784285336
In.DiameterMsg._msgId._endToEndId = 1784285336
In.DiameterMsg._value._sessionId = B48C32BD05FC4914BDE5BBE3FA4FDFAB
In.DiameterMsg._value._vendorSpecificAppId = VendorId: 10415, AppId: 16777216
In.DiameterMsg._value._result = DiameterBaseResultCode::Success
In.DiameterMsg._value._authSessionState = NoStateMaintained
In.DiameterMsg._value._originHostAndRealm = Host: hss.iskratechno, Realm: iskratechno
In.DiameterMsg._value._userName = 001011001002056@ims.it.ru
In.DiameterMsg._value._publicIdentity = sip:001011001002056@ims.it.ru
In.DiameterMsg._value._sipNumberAuthItems = 1
In.DiameterMsg._value._sipAuthDataItem.0._sipAuthScheme = Digest-AKAv1-MD5
In.DiameterMsg._value._sipAuthDataItem.0._sipAuthenticate = VecByte sz: 32 : B4 AC C1 82 CB 21 25 20 C9 00 61 C1 DA 42 D4 A9 E1 9B FC 6B 9F 6A 00 00 A7 83 8A 4A D7 B4 F1 9B
In.DiameterMsg._value._sipAuthDataItem.0._sipAuthorization = VecByte sz: 8 : 67 4A F3 7C 93 F7 B2 0D
In.DiameterMsg._value._sipAuthDataItem.0._ck = VecByte sz: 16 : 25 62 56 FC AD C8 E9 28 25 A8 80 27 59 A7 F1 3D
In.DiameterMsg._value._sipAuthDataItem.0._ik = VecByte sz: 16 : 63 07 1F 73 B4 22 75 95 66 40 50 57 65 0C BE 60
In.DiameterMsg._appId = _3GppCx(16777216)
In.DiameterMsg._isRetransmitted = FALSE
In.DiameterMsg._isTraced = <hidden>

260717 15:49:24.202| dbg| RegistrMng |            | Process Diameter msg: DiameterMessageType::MultimediaAuthResp
260717 15:49:24.202| dbg| UasTransMng|            | Changing transaction state: Branch: z9hG4bK-1646694-1-0, Method: REGISTER from: TransactionState::Trying to: TransactionState::Completed
260717 15:49:24.202| dbg| UasTransMng|            | Starting Timer J for transaction: Branch: z9hG4bK-1646694-1-0, Method: REGISTER
260717 15:49:24.202| dbg| UasTransMng|            | Starting auth wait timer for: CallId: 1///1-1646694@192.168.11.134, CSeq: Number: 1, Method: REGISTER
260717 15:49:24.202| dbg| SipIfaceThr|            | SIP message to send to: 192.168.11.134:5061, transport: Udp:
Out.SipResponse._flags = UserId: 0, TransactionTimeoutSec: <Unknown>, IsTraced: 0
Out.SipResponse._head._statusLine = StatusCode: Unauthorized(401), ReasonPhrase: 
Out.SipResponse._head._via.0 = SentProtocol: Name: SIP, Version: 2.0, Transport: Udp, SentBy: icscf.ims.it.ru:5065, Branch: z9hG4bK-1646694-1-0, Received: <Unknown>, Rport: <Unknown>, GenericParams: sz: 0 :
Out.SipResponse._head._via.1 = SentProtocol: Name: SIP, Version: 2.0, Transport: Udp, SentBy: 192.168.35.187:5060, Branch: z9hG4bKfpdurv10dgfr1iu8cb00.1, Received: <Unknown>, Rport: <Unknown>, GenericParams: sz: 0 :
Out.SipResponse._head._via.2 = SentProtocol: Name: SIP, Version: 2.0, Transport: Udp, SentBy: 192.168.10.25:5060, Branch: z9hG4bK4132783461, Received: <Unknown>, Rport: <Unknown>, GenericParams: sz: 0 :
Out.SipResponse._head._callId = 1///1-1646694@192.168.11.134
Out.SipResponse._head._cSeq = Number: 1, Method: REGISTER
Out.SipResponse._head._from = DisplayName: <Unknown>, Uri: Uri: sip:001011001002056@ims.it.ru, Parameters: , Headers: , Tag: 16466940, GenericParams: sz: 0 :
Out.SipResponse._head._to = DisplayName: <Unknown>, Uri: Uri: sip:001011001002056@ims.it.ru, Parameters: , Headers: , Tag: <Unknown>, GenericParams: sz: 0 :
Out.SipResponse._head._contact = Type: Dummy, Value: 
Out.SipResponse._head._wwwAuthenticate = Digest realm="scscf.sip",nonce="tKzBgsshJSDJAGHB2kLUqeGb/GufagAAp4OKSte08Zs=",algorithm=AKAv1-MD5,qop=auth,ik="63071f73b422759566405057650cbe60",ck="256256fcadc8e92825a8802759a7f13d"
Out.SipResponse._body._data = 

260717 15:49:24.203| dbg| SipTransUdp| 0          | Decoded SIP message from: 192.168.11.134:5061:
In.SipRequest._flags = UserId: 0, TransactionTimeoutSec: <Unknown>, IsTraced: 0
In.SipRequest._head._requestLine = Method: REGISTER, RequestUri: Uri: sip:ims.it.ru, Parameters: , Headers: , SipVersion: 2.0
In.SipRequest._head._via.0 = SentProtocol: Name: SIP, Version: 2.0, Transport: Udp, SentBy: icscf.ims.it.ru:5065, Branch: z9hG4bK-1646694-1-2, Received: <Unknown>, Rport: <Unknown>, GenericParams: sz: 0 :
In.SipRequest._head._via.1 = SentProtocol: Name: SIP, Version: 2.0, Transport: Udp, SentBy: 192.168.35.187:5060, Branch: z9hG4bKfpdurv10dgfr1iu8cb00.1, Received: <Unknown>, Rport: <Unknown>, GenericParams: sz: 0 :
In.SipRequest._head._via.2 = SentProtocol: Name: SIP, Version: 2.0, Transport: Udp, SentBy: 192.168.10.25:5060, Branch: z9hG4bK4132783461, Received: <Unknown>, Rport: <Unknown>, GenericParams: sz: 0 :
In.SipRequest._head._callId = 2///1-1646694@192.168.11.134
In.SipRequest._head._cSeq = Number: 2, Method: REGISTER
In.SipRequest._head._from = DisplayName: <Unknown>, Uri: Uri: sip:001011001002056@ims.it.ru, Parameters: , Headers: , Tag: 16466942, GenericParams: sz: 0 :
In.SipRequest._head._to = DisplayName: <Unknown>, Uri: Uri: sip:001011001002056@ims.it.ru, Parameters: , Headers: , Tag: <Unknown>, GenericParams: sz: 0 :
In.SipRequest._head._contact = Type: ContactParamList, Value: sz: 1 : DisplayName: <Unknown>, SipUri: Uri: sip:192.168.35.187:5060, Parameters: , Headers: , Params: Expires: <Unknown>
In.SipRequest._head._authorization = Digest username="001011001002056@ims.it.ru",realm="scscf.sip",nonce="tKzBgsshJSDJAGHB2kLUqeGb/GufagAAp4OKSte08Zs=",uri="sip:ims.it.ru",response="2afff30e425967362a6d63ad55e5daff",algorithm=AKAv1-MD5,cnonce="0a4f113f",qop=auth,nc=00000001
In.SipRequest._head._expires = 15
In.SipRequest._head._maxForwards = 70
In.SipRequest._head._contentLength = 0
In.SipRequest._head._x.P-Access-Network-Info = 3GPP-E-UTRAN-FDD;utran-cell-id-3gpp=0010100C90000101
In.SipRequest._body._data = 

260717 15:49:24.203| dbg| UasTransMng|            | New transaction created, id: Branch: z9hG4bK-1646694-1-2, Method: REGISTER, sent by: 192.168.11.134:5061
260717 15:49:24.203| dbg| RegistrMng |            | IMPI: 001011001002056@ims.it.ru was successfully authorized
260717 15:49:24.203| dbg| RegistrMng |            | Perform SAR DiameterServerAssignmentType::Registration for IMPU: sip:001011001002056@ims.it.ru
260717 15:49:24.204| dbg| SctpTrans  | Diameter 1 | Sending message (DiameterMessageType::ServerAssignmentReq) to: 192.168.11.135:3868:
Out.DiameterMsg._msgId._hopByHopId = 1784285337
Out.DiameterMsg._msgId._endToEndId = 1784285337
Out.DiameterMsg._value._sessionId = 601F9D4F0B6E44A39AF47F90E0784922
Out.DiameterMsg._value._vendorSpecificAppId = VendorId: 10415, AppId: 16777216
Out.DiameterMsg._value._authSessionState = NoStateMaintained
Out.DiameterMsg._value._originHostAndRealm = Host: scscf.iskratechno, Realm: iskratechno
Out.DiameterMsg._value._destinationHost = hss.iskratechno
Out.DiameterMsg._value._destinationRealm = iskratechno
Out.DiameterMsg._value._publicIdentity.0 = sip:001011001002056@ims.it.ru
Out.DiameterMsg._value._userName = 001011001002056@ims.it.ru
Out.DiameterMsg._value._serverName = scscf.sip
Out.DiameterMsg._value._serverAssignmentType = DiameterServerAssignmentType::Registration
Out.DiameterMsg._value._userDataAlreadyAvailable = DiameterUserDataAlreadyAvailable::UserDataNotAvailable
Out.DiameterMsg._appId = _3GppCx(16777216)
